,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
110,0.33,5,4,6,62.5,54.0,4.41,4.45,2.77,814.8264415308181
111,1.16,4,3,2,62.6,57.0,6.75,6.67,4.2,4634.983155299931
112,0.51,5,6,4,61.8,57.0,5.15,5.14,3.18,1703.161555071463
113,1.13,2,4,1,63.4,58.0,6.58,6.61,4.18,3205.8126402559337
114,0.52,4,6,4,62.5,60.0,5.1,5.14,3.2,1729.2562181910705
115,0.23,3,5,6,61.4,56.0,3.94,3.97,2.43,418.3037806208595
116,0.5,1,5,3,64.7,60.0,4.99,4.84,3.18,1164.8847948210177
117,1.08,3,7,5,60.5,58.0,6.53,6.63,3.98,7736.905952496585
118,0.3,4,4,5,62.2,59.0,4.31,4.28,2.67,610.7417729928766
119,0.48,5,1,5,62.2,54.0,5.01,5.06,3.13,1029.6517935973072
120,1.51,5,1,5,61.6,58.0,7.35,7.43,4.55,8908.04851649943
121,1.03,4,5,2,62.4,59.0,6.45,6.38,4.0,4268.762049070752
122,0.31,3,4,6,63.4,59.0,4.29,4.26,2.71,689.7880921586868
123,0.4,5,4,8,62.3,55.0,4.74,4.76,2.96,1343.7638437369835
124,1.03,5,6,4,61.7,56.0,6.45,6.54,4.01,6397.131673490795
125,1.16,4,1,3,62.5,58.0,6.73,6.67,4.19,4153.609694243335
126,1.04,3,1,2,62.8,57.0,6.44,6.5,4.06,2708.115885227534
127,0.71,4,6,4,61.5,60.0,5.76,5.68,3.52,3108.174188815556
128,0.29,3,3,6,61.2,56.0,4.26,4.29,2.61,561.802688432096
129,1.09,5,4,2,61.2,57.0,6.68,6.63,4.07,4560.695011086252
130,0.74,5,5,5,62.3,56.0,5.76,5.79,3.6,3632.4604317935987
131,0.42,5,7,4,62.4,55.0,4.82,4.8,3.0,1233.2322351128544
132,0.54,5,2,3,62.0,55.0,5.21,5.25,3.24,1218.6766920541345
133,0.51,5,6,4,62.6,55.0,5.08,5.11,3.19,1703.161555071463
134,1.01,4,5,2,58.8,61.0,6.53,6.46,3.82,4114.045266089507
135,1.0,4,3,4,59.4,61.0,6.51,6.46,3.85,4888.469586578216
136,1.02,4,3,4,61.0,60.0,6.5,6.46,3.95,5074.164590732885
137,0.73,2,6,5,60.8,61.0,5.77,5.8,3.52,3411.338992893635
138,1.01,4,3,2,60.3,59.0,6.51,6.45,3.91,3571.316409955952
139,0.33,2,7,3,63.1,55.0,4.38,4.4,2.77,624.9038872574032
140,1.22,5,5,5,62.3,57.0,6.79,6.83,4.24,9310.869572113432
141,0.31,5,7,5,62.0,54.0,4.35,4.36,2.7,774.9096091932159
142,1.07,4,4,3,60.5,62.0,6.69,6.6,4.02,5237.582429420682
143,1.01,3,6,6,60.2,60.0,6.46,6.5,3.9,7132.4456166020855
144,0.23,3,5,8,59.5,58.0,4.0,4.03,2.39,480.23809582000445
145,0.35,3,7,5,60.9,58.0,4.54,4.56,2.77,927.368275963557
146,0.55,5,5,6,60.7,56.0,5.31,5.34,3.23,2267.676857866799
147,0.9,5,4,3,61.9,59.0,6.16,6.19,3.82,3863.0945338190922
148,0.72,5,4,7,62.2,57.0,5.72,5.75,3.57,3811.48044122295
149,0.83,3,6,3,63.5,58.0,5.93,5.98,3.78,3534.0246437597175
150,1.04,5,3,3,61.9,57.0,6.49,6.46,4.01,4683.285732352206
151,0.71,3,6,4,59.9,59.0,5.77,5.81,3.47,3023.7748889379577
152,0.43,5,5,3,61.3,56.0,4.9,4.86,2.99,1022.9391480347326
153,0.33,5,6,4,61.3,55.0,4.46,4.48,2.74,750.4429894236674
154,1.72,1,7,2,64.6,58.0,7.53,7.46,4.84,10775.10337930522
155,1.13,5,4,3,61.8,55.0,6.71,6.75,4.16,5929.454980061611
156,0.52,5,7,3,62.4,56.0,5.12,5.17,3.21,1605.865135666721
157,0.3,3,4,5,62.5,55.0,4.25,4.32,2.68,594.1577030806795
158,1.53,4,4,5,61.0,60.0,7.43,7.4,4.52,13122.221034337983
159,2.02,1,3,2,56.5,61.0,8.33,8.37,4.72,11533.658078456097
160,0.33,4,3,5,61.0,59.0,4.5,4.45,2.73,674.8176538263341
161,0.7,3,4,1,61.5,63.0,5.73,5.65,3.5,1352.7643686420124
162,1.26,4,2,3,60.5,62.0,6.97,6.92,4.2,5880.42223585921
163,0.3,4,7,4,62.5,59.0,4.28,4.23,2.66,640.6995004035516
164,0.59,3,3,5,62.1,55.0,5.37,5.41,3.35,1960.2436333480439
165,0.82,5,6,3,62.1,55.0,5.98,6.0,3.72,3627.338949812078
166,0.39,3,4,6,60.7,61.0,4.7,4.73,2.86,1062.7409212912687
167,0.31,5,3,8,62.1,54.0,4.33,4.37,2.7,767.9067551852991
168,1.26,5,2,2,62.0,56.0,7.0,6.94,4.32,4945.002979801084
169,1.51,3,5,2,62.7,60.0,7.25,7.32,4.57,8533.732701921837
170,0.56,5,4,5,60.6,56.0,5.33,5.36,3.24,2020.5591382331427
171,0.31,5,4,7,62.5,55.0,4.34,4.33,2.71,779.967779661888
172,0.56,5,3,6,60.9,57.0,5.38,5.33,3.26,2036.447769054285
173,0.96,4,6,2,58.2,58.0,6.52,6.47,3.78,3932.639932541745
174,0.52,3,6,3,62.7,57.0,5.1,5.14,3.21,1465.3407727244821
175,1.02,3,3,3,63.5,55.0,6.31,6.35,4.02,4299.756267520437
176,1.06,2,2,5,57.5,62.0,6.71,6.83,3.9,5078.7147936568135
177,1.21,5,3,3,62.1,59.0,6.81,6.75,4.21,6227.91515558772
178,2.02,1,3,4,64.5,57.0,8.0,7.95,5.14,16085.98116846904
179,1.52,5,4,4,62.1,56.0,7.39,7.34,4.57,11896.167490419324
180,2.03,3,2,2,62.8,59.0,8.04,8.08,5.06,11558.308190204756
181,0.28,2,5,6,61.2,62.0,4.16,4.21,2.56,582.748575738591
182,0.7,1,4,5,65.8,61.0,5.61,5.46,3.64,2636.560765466336
183,0.7,5,4,7,62.3,57.0,5.61,5.65,3.51,3614.5959469156433
184,2.32,1,3,1,70.5,55.0,7.93,7.9,5.58,10732.636474546789
185,0.58,5,1,4,60.9,57.0,5.38,5.4,3.28,1321.0276672311554
186,0.54,5,7,5,61.6,54.0,5.24,5.25,3.23,2203.1528149697187
187,1.2,3,2,3,62.9,54.0,6.75,6.77,4.25,5218.663616098697
188,0.52,3,5,4,62.4,57.0,5.12,5.13,3.2,1599.463391677194
189,1.57,4,5,2,60.2,60.0,7.49,7.43,4.49,9439.641085125955
190,0.7,4,2,1,62.3,58.0,5.69,5.55,3.51,1147.646573926046
191,1.57,3,3,3,62.0,60.0,7.4,7.44,4.6,9684.440088077172
192,1.02,3,7,4,63.2,58.0,6.4,6.36,4.03,6241.936868713364
193,1.5,4,5,4,62.4,57.0,7.38,7.29,4.58,12082.1019880366
194,0.7,3,6,5,62.7,60.0,5.59,5.64,3.52,3276.903903484553
195,0.42,4,5,3,60.6,58.0,4.89,4.81,2.94,957.9357017393444
196,2.01,4,3,3,60.0,60.0,8.16,8.13,4.89,15850.335782480171
197,0.31,4,4,5,62.2,58.0,4.38,4.34,2.71,649.6332545462752
198,0.44,5,6,6,61.9,56.0,4.91,4.88,3.03,1566.9560932227516
199,0.7,5,7,6,61.7,55.0,5.73,5.75,3.54,3919.5614657811584
200,1.2,4,1,3,60.0,61.0,6.89,6.84,4.12,4427.364852535617
201,1.05,5,4,5,62.2,57.0,6.49,6.51,4.04,6598.631833432372
202,0.7,5,5,1,62.1,57.0,5.67,5.64,3.52,1511.0918689283224
203,0.53,4,5,3,60.9,59.0,5.21,5.23,3.18,1484.3631012086637
204,1.09,4,3,2,61.2,62.0,6.63,6.58,4.04,4122.452787743141
205,0.92,4,6,2,61.8,59.0,6.19,6.11,3.8,3629.821634601413
206,0.71,4,5,4,58.0,62.0,5.85,5.81,3.38,2955.1273513633814
207,0.57,2,5,2,61.9,57.7,5.32,5.34,3.3,1311.3222959942307
208,0.71,3,4,4,63.5,59.0,5.67,5.63,3.59,2702.596437405628
209,0.89,4,4,3,61.1,58.0,6.24,6.17,3.79,3702.761734800896
210,1.06,5,4,3,62.9,56.0,6.52,6.49,4.09,5256.867786456153
211,0.86,4,3,2,61.0,58.0,6.15,6.12,3.74,2638.590457635739
212,1.1,4,4,4,60.2,58.0,6.75,6.71,4.05,6334.392708208462
213,0.7,5,6,3,62.5,57.0,5.7,5.72,3.57,2692.874819123924
214,1.04,4,4,5,61.5,61.0,6.56,6.51,4.02,6343.891078011725
215,0.93,4,6,1,62.3,60.0,6.23,6.2,3.87,2656.0995895489523
216,1.1,4,5,1,59.8,61.0,6.7,6.65,3.99,3464.0418119263095
217,2.12,4,3,2,62.3,58.0,8.25,8.16,5.12,14424.087575740443
218,0.33,5,5,7,62.4,55.0,4.44,4.47,2.78,933.3307752832578
219,0.9,1,2,4,65.8,55.0,6.05,6.01,3.97,3137.9281879538657
220,0.71,5,6,5,62.0,57.0,5.72,5.66,3.53,3534.2021595949213
221,1.75,5,4,4,62.1,57.0,7.73,7.69,4.79,15510.23997527049
222,0.81,5,3,3,61.4,56.0,6.0,6.05,3.7,2925.4023405116104
223,0.75,2,2,7,63.9,61.0,5.7,5.67,3.63,3111.870060457273
224,0.4,5,4,4,62.6,56.0,4.69,4.74,2.95,963.4794762929171
225,0.34,5,4,4,62.1,55.0,4.49,4.46,2.78,709.5103675911038
226,0.35,4,5,4,61.8,58.0,4.48,4.52,2.78,780.2357100079834
227,1.29,3,2,4,62.8,58.0,6.89,6.93,4.34,6865.262770799244
228,1.7,4,4,3,61.7,58.0,7.69,7.6,4.72,12522.132833037294
229,1.01,4,5,3,62.7,54.0,6.42,6.37,4.01,4997.867414813823
230,0.47,2,7,3,63.8,59.0,4.9,4.88,3.12,1216.094333228428
231,0.71,4,6,3,59.2,59.0,5.86,5.83,3.46,2707.3258563332033
232,1.01,5,4,5,61.3,56.0,6.49,6.44,3.96,6133.332081139358
233,0.92,2,1,2,59.0,63.0,6.3,6.35,3.73,2068.0949804541324
234,0.31,5,5,7,61.6,55.0,4.36,4.41,2.7,829.6898372960827
235,0.3,5,4,7,61.3,56.0,4.3,4.34,2.65,733.2735836633296
236,0.7,3,4,3,62.1,58.0,5.66,5.7,3.53,2292.0194785284234
237,1.01,4,3,8,62.1,59.0,6.47,6.41,4.0,6946.871994513752
238,1.5,3,3,2,62.5,60.0,7.25,7.32,4.55,7315.859962672065
239,0.9,3,7,5,62.2,58.0,6.14,6.18,3.83,5488.983976425602
240,0.23,2,5,6,62.8,61.0,3.92,3.95,2.47,402.38418598068563
241,0.25,2,6,6,58.0,65.0,4.13,4.18,2.41,495.1617464928287
242,0.35,5,5,6,62.1,56.0,4.56,4.52,2.82,968.3117454067796
243,0.73,3,7,2,60.4,59.0,5.8,5.86,3.52,2384.0962465773737
244,0.4,3,4,8,61.2,57.0,4.77,4.79,2.92,1279.656321635431
245,0.3,5,6,4,61.5,55.0,4.33,4.29,2.65,627.1728740278634
246,1.01,4,1,6,62.7,59.0,6.46,6.39,4.03,4463.6109793131
247,0.51,5,7,2,62.5,55.0,5.12,5.15,3.21,1274.430604766644
248,1.72,4,5,1,60.1,58.0,7.77,7.74,4.66,8036.825549470442
249,0.51,2,6,3,64.3,54.0,5.1,5.07,3.27,1358.9720862670752
250,0.7,5,6,5,62.2,58.0,5.67,5.71,3.54,3441.0684419356458
251,0.52,2,3,4,63.6,57.0,5.05,5.1,3.23,1335.619288867798
252,1.01,4,5,2,62.2,59.0,6.41,6.38,3.98,4114.045266089507
253,0.31,5,5,4,62.1,57.0,4.34,4.36,2.7,634.262070569314
254,1.01,2,4,3,63.6,57.0,6.33,6.37,4.04,4396.821591298234
255,1.24,2,6,3,63.5,55.0,6.82,6.86,4.35,7238.643394498752
256,1.01,3,2,3,60.1,59.0,6.44,6.47,3.88,3772.41831463959
257,1.05,5,4,4,61.9,57.0,6.47,6.51,4.03,5928.455591384479
258,0.9,2,4,3,63.7,60.0,6.11,6.07,3.88,3538.7904405024565
259,0.56,5,6,4,61.6,57.0,5.3,5.32,3.27,2031.0821776977891
260,0.8,3,5,3,61.6,56.0,5.96,6.0,3.68,3135.0137750993113
261,0.3,5,7,3,62.5,57.0,4.32,4.29,2.69,570.1160640748676
262,0.76,5,3,4,62.7,57.0,5.82,5.86,3.66,2978.880906004666
263,1.21,4,3,3,59.8,58.0,6.95,6.9,4.14,6096.337134096985
264,1.51,3,1,5,61.4,57.0,7.3,7.38,4.51,8483.06839829277
265,1.21,5,3,6,61.3,56.0,6.85,6.89,4.21,8686.066920844358
266,0.7,5,5,3,61.5,57.0,5.67,5.74,3.51,2560.277368117301
267,0.53,5,2,4,62.2,56.0,5.15,5.2,3.22,1350.7335506857175
268,0.46,5,6,5,61.9,55.0,4.94,4.97,3.06,1560.987788676138
269,0.41,5,4,8,61.7,56.0,4.79,4.81,2.96,1407.7089904810407
270,0.37,3,5,4,61.0,58.0,4.61,4.63,2.82,842.7653266286383
271,0.58,5,5,2,60.9,57.0,5.4,5.44,3.3,1479.143492280353
272,0.72,4,5,3,59.5,62.0,5.85,5.74,3.45,2642.696222878858
273,1.5,2,4,3,58.4,65.0,7.45,7.41,4.34,9258.31156332714
274,1.31,3,3,4,61.4,59.0,6.96,7.01,4.29,7906.875691087093
275,1.0,3,7,3,62.1,58.0,6.34,6.45,3.97,5237.968960540547
276,0.41,4,4,7,60.3,60.0,4.78,4.74,2.87,1292.4260968971948
277,0.38,5,5,7,61.0,57.0,4.67,4.71,2.86,1217.2747282479022
278,0.35,4,6,7,60.7,59.0,4.58,4.55,2.77,1073.4998817393719
279,0.3,4,7,4,61.7,58.0,4.32,4.3,2.66,640.6995004035516
280,1.13,5,2,5,61.6,54.0,6.72,6.74,4.15,6253.483911293308
281,0.37,4,6,6,60.9,59.0,4.61,4.65,2.82,1106.897396461479
282,0.39,4,4,6,60.7,61.0,4.73,4.7,2.86,1092.4040387529535
283,0.5,2,7,3,63.9,56.0,5.02,4.93,3.18,1366.3429932284646
284,0.31,5,6,4,61.5,56.0,4.39,4.42,2.71,667.1106731758033
285,1.72,2,7,2,63.4,62.0,7.53,7.59,4.79,11514.053009998337
286,1.27,5,3,3,59.8,57.0,7.08,7.01,4.22,6822.038320801873
287,1.0,2,7,4,62.8,61.0,6.31,6.34,3.97,5784.6468903297755
288,1.59,4,2,4,59.9,60.0,7.61,7.57,4.55,10461.094377744817
289,0.38,3,5,4,60.9,56.0,4.67,4.72,2.86,886.1596500517018
290,2.39,5,1,5,62.1,57.0,8.53,8.57,5.31,21146.3041997248
291,1.01,4,5,3,62.2,59.0,6.36,6.41,3.97,4997.867414813823
292,0.31,4,3,7,62.6,58.0,4.33,4.29,2.7,705.0198138224447
293,2.05,5,1,5,61.8,58.0,8.12,8.16,5.03,15840.287108572158
294,0.7,2,5,3,61.1,61.0,5.68,5.71,3.48,2345.343867723376
295,1.01,1,2,1,56.1,63.0,6.7,6.65,3.74,2004.3152534752567
296,1.55,3,3,4,63.3,56.0,7.38,7.32,4.65,10853.16711057126
297,0.33,4,6,7,59.7,58.0,4.49,4.52,2.69,960.928386395213
298,1.51,4,6,3,62.9,62.0,7.31,7.21,4.57,11208.299880635443
299,0.26,3,7,6,59.1,59.0,4.21,4.28,2.51,578.372515535845
300,1.01,4,7,3,59.8,54.0,6.6,6.5,3.93,5485.98618194635
301,0.42,3,7,3,60.2,57.0,4.85,4.89,2.93,1022.940667428599
302,1.03,4,3,1,62.9,59.0,6.41,6.3,4.0,2656.933757735673
303,1.57,5,2,2,62.6,58.0,7.38,7.41,4.63,7482.0430143814
304,1.01,3,4,5,63.1,55.0,6.34,6.37,4.01,5840.7265583904
305,2.51,4,1,2,59.3,58.0,8.87,8.83,5.25,14622.585249453256
306,0.7,3,7,3,63.2,55.0,5.62,5.65,3.56,2676.254378178738
307,0.95,5,4,4,61.6,56.0,6.34,6.3,3.89,4910.302612261852
308,0.32,5,6,2,62.7,55.0,4.39,4.42,2.76,507.781357077833
309,1.25,4,1,2,62.3,59.0,6.82,6.86,4.26,3935.5712727109103
310,2.26,4,2,2,62.0,58.0,8.4,8.37,5.2,14541.45340374198
311,0.28,5,4,8,60.9,57.0,4.24,4.27,2.59,686.5741086156166
312,1.52,5,2,3,61.4,57.0,7.4,7.43,4.55,8552.092054899158
313,0.4,2,7,5,56.3,59.0,4.94,4.97,2.79,1147.0527512119763
314,1.7,3,5,2,63.4,57.0,7.54,7.57,4.79,10667.087462822032
315,2.01,2,1,2,63.4,59.0,7.95,7.99,5.05,9006.952704931717
316,0.3,5,7,4,62.2,54.0,4.31,4.28,2.67,654.5277993933988
317,0.55,3,6,4,61.6,60.0,5.23,5.27,3.23,1869.670372467583
318,0.33,4,6,7,59.7,58.0,4.52,4.49,2.69,960.928386395213
319,1.16,5,4,6,62.0,56.0,6.75,6.71,4.17,8687.996726107398
320,1.51,3,1,3,62.9,59.0,7.25,7.29,4.57,6638.589631137525
321,0.29,5,5,5,61.6,56.0,4.26,4.31,2.64,622.6597837573199
322,0.7,3,6,5,63.4,57.0,5.63,5.67,3.58,3276.903903484553
323,0.39,4,3,2,61.2,58.0,4.51,6.02,4.44,595.368043580034
324,0.52,5,6,4,61.2,56.0,5.2,5.16,3.17,1766.5789755837889
325,2.17,4,3,3,59.9,61.0,8.39,8.38,5.02,18308.987841198174
326,1.37,5,3,5,63.8,56.0,7.01,6.98,4.46,10054.585891302473
327,0.3,3,5,7,61.0,57.0,4.33,4.36,2.65,742.8062390259979
328,1.06,4,7,2,61.6,61.0,6.59,6.53,4.04,4945.91632359174
329,0.32,5,6,7,60.9,57.0,4.42,4.45,2.7,926.4121987025305
330,0.32,4,4,4,61.0,59.0,4.42,4.46,2.71,619.6055052849928
331,0.2,4,7,4,61.7,60.0,3.77,3.72,2.31,298.624573191757
332,0.7,5,3,4,61.1,57.0,5.71,5.74,3.5,2551.5912213998577
333,0.53,5,6,5,61.5,57.0,5.22,5.25,3.22,2038.0749679842793
334,0.71,5,2,7,62.4,55.0,5.69,5.76,3.57,3063.9942780640026
335,1.16,5,4,7,61.9,55.0,6.75,6.78,4.19,9355.155553727458
336,1.01,4,6,3,59.2,60.0,6.56,6.51,3.87,5256.708307572517
337,0.4,5,4,6,62.6,53.0,4.72,4.77,2.97,1170.464194717855
338,1.51,2,5,2,62.9,55.0,7.22,7.28,4.56,8208.960200032061
339,1.04,3,2,2,61.6,58.0,6.47,6.58,4.02,3281.233442334392
340,0.37,5,2,3,60.7,60.0,4.6,4.62,2.8,598.0843702297536
341,0.37,4,5,4,60.5,59.0,4.62,4.67,2.81,866.2885074675266
342,0.64,2,3,5,61.8,60.3,5.47,5.53,3.4,2197.7155868074087
343,2.01,3,2,3,60.8,60.0,8.12,8.15,4.95,13782.065745079064
344,1.29,5,4,4,62.5,57.0,6.89,6.92,4.35,8734.87419236088
345,1.01,3,4,6,63.4,55.0,6.41,6.34,4.04,6374.8535593496335
